campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,1997.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,1999.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2010.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2045.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2065.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2083.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2118.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2120.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2131.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2166.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2186.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2204.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2239.0,20.0,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2259.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2261.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2272.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2307.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2327.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2345.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2380.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2382.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2393.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2428.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2448.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2466.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2501.0,20.0,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2521.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2523.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2534.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2569.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2589.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2607.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2642.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2644.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2655.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2690.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2710.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2728.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2763.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2765.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2776.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2811.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2831.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2849.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2884.0,20.0,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2904.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2906.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2917.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2952.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2972.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2990.0,35.0,/IDOC/E1EDK28/ACNAM
E1EDK29.LAND1,Country Key,Country Key,NO,0..1,,,3025.0,2.0,/IDOC/E1EDK29/LAND1
E1EDKT1.TDID,Text ID,Text ID,NO,0..1,,,3027.0,4.0,/IDOC/E1EDKT1/TDID
E1EDKT1.TSSPRAS,Language Key,Language Key,NO,0..1,,,3031.0,2.0,/IDOC/E1EDKT1/TSSPRAS
E1EDKT1.TSSPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,3033.0,20.0,/IDOC/E1EDKT1/TSSPRAS_ISO
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3053.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3076.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3099.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3122.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3145.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3168.0,3.0,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,67.0,1.0,/IDOC/E1EDK14/ORGID
E1EDP01.POSEX,Item number,Item number,SI,1..N,,,3191.0,6.0,/IDOC/E1EDP01/POSEX
E1EDP01.MENGE,Quantity,Quantity,SI,1..N,,,3197.0,15.0,/IDOC/E1EDP01/MENGE
E1EDP01.MENEE,Unit of measure,Unit of measure,NO,1..N,,,3212.0,10.0,/IDOC/E1EDP01/MENEE
E1EDP01.NTGEW,Net weight,Net weight,NO,1..N,,,3222.0,15.0,/IDOC/E1EDP01/NTGEW
E1EDP01.GEWEI,Weight unit,Weight unit,NO,1..N,,,3237.0,3.0,/IDOC/E1EDP01/GEWEI
E1EDP01.BRGEW,Total weight,Total weight,NO,1..N,,,3240.0,15.0,/IDOC/E1EDP01/BRGEW
E1EDP01.PSTYV,Sales document item category,Sales document item category,NO,1..N,,,3255.0,10.0,/IDOC/E1EDP01/PSTYV
E1EDP01.WERKS,Plant,Plant,NO,1..N,,,3265.0,10.0,/IDOC/E1EDP01/WERKS
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3275.0,3.0,/IDOC/E1EDP02/QUALF
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3278.0,3.0,/IDOC/E1EDP02/QUALF
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3281.0,35.0,/IDOC/E1EDP02/BELNR
